index,verse_index,verse_id,word_index,root_word,arabic,english,transliterated,meanings,chapter_number,verse_number
1,1,1:1,1,س م و,بِسْمِ,In (the) name,bis'mi,name; attribute; to be high; raised lofty; heavens; heights; rain; rain clouds; figure seen from afar; good repute; fame; sublime; fixed; determined,1,1
2,1,1:1,2,ا ل ه,ٱللَّهِ,"(of) God,",l-lahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,1,1
3,1,1:1,3,ر ح م,ٱلرَّحْمَـٰنِ,"Most Gracious,",l-raḥmāni,"to love; have mercy; forgiveness; favor, affection; wombs",1,1
4,1,1:1,4,ر ح م,ٱلرَّحِيمِ,Most Merciful.,l-raḥīmi,"to love; have mercy; forgiveness; favor, affection; wombs",1,1
5,2,1:2,1,ح م د,ٱلْحَمْدُ,All praise be,al-ḥamdu,"To praise or eulogize or commend someone, speak well of someone, mention someone with approbation, approve of a thing, recompense/pay someone his due, to be praiseworthy or commendable; to heat: to burn or burn fiercely, to be vehement.",1,2
6,2,1:2,2,ا ل ه,لِلَّهِ,"to God,",lillahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,1,2
7,2,1:2,3,ر ب ب,رَبِّ,Lord (of),rabbi,"to be lord and master; collect; possess; rule; increase; complete; perfume; bring up; preserve; last; Mast; Chief; Determiner; Provider; Sustainer; Perfecter; Rewarder; Ruler; Creator; Maintainer; Reposer of properties; King of nature; Developer; Former of rules and laws of the growth; Foster of a thing in such a manner as to make it attain one condition after another until it reaches its goal of completion; (conveys  not only the idea of fostering, bringing up or nourishing but also that of regulating; completing, accomplishing, cherishing, sustaining, and bringing to maturity and evolution from the earliest state to that of the highest perfection.",1,2
8,2,1:2,4,ع ل م,ٱلْعَـٰلَمِينَ,the universe.,l-ʿālamīna,"to mark; sign; distinguish; long mountain; know; distinguish; nation; world; community; science; knowledge; learning; information; wise; learned; one who knows; educated; taught; well known, one's limit of potential knowledge",1,2
9,3,1:3,1,ر ح م,ٱلرَّحْمَـٰنِ,"Most Gracious,",al-raḥmāni,"to love; have mercy; forgiveness; favor, affection; wombs",1,3
10,3,1:3,2,ر ح م,ٱلرَّحِيمِ,Most Merciful.,l-raḥīmi,"to love; have mercy; forgiveness; favor, affection; wombs",1,3
11,4,1:4,1,م ل ك,مَـٰلِكِ,Master (of),māliki,to possess; become the owner of; conquer; have control; rule; take a wife; to marry; have power; reign; be capable of; able to obtain; can do; can avail; have authority; hold; transfer property; give to anyone the possession; give a support to; marriage; to own; king; lord; monarch; master; dominion; kingdom; angel; owner,1,4
12,4,1:4,2,ي و م,يَوْمِ,Day (of),yawmi,to be one; exist for a day; spend; last a day; day; time; aeon; day and night; moment,1,4
13,4,1:4,3,د ي ن,ٱلدِّينِ,[the] Judgment.,l-dīni,Religion; judgment; debt that one owes; lending; transaction; subscribe; observe; requital; faith; law; obedience,1,4
14,5,1:5,1,ا ي ي,إِيَّاكَ,You alone,iyyāka,who; which; what; whosoever; whatsoever; whichever,1,5
15,5,1:5,2,ع ب د,نَعْبُدُ,"we worship,",naʿbudu,to serve; worship; adore; venerate; obey; accept the impression of a thing; submit; devote; to render submissive; enslave; open (a road); to apply to; devote oneself to; treat a person like a slave; human being; slave; servant; worshiper; pious; godly; place of worship; sanctuary; temple; beaten or todden road; honored,1,5
16,5,1:5,3,ا ي ي,وَإِيَّاكَ,and You alone,wa-iyyāka,who; which; what; whosoever; whatsoever; whichever,1,5
17,5,1:5,4,ع و ن,نَسْتَعِينُ,we ask for help.,nastaʿīnu,middle aged; to aid; assist; cooperate; help,1,5
18,6,1:6,1,ه د ي,ٱهْدِنَا,Guide us (in),ih'dinā,to guide; show with kindness the right path; lead to the right path; guidance; follow the right path; to find guidance; offering (animals to slaughtered during Hajj); gift; present,1,6
19,6,1:6,2,ص ر ط,ٱلصِّرَٰطَ,the path,l-ṣirāṭa,"a path which is even and wide enough and can be trodden without difficulty; way that is straight so that all parts of it are in orderly array; right path; ",1,6
20,6,1:6,3,ق و م,ٱلْمُسْتَقِيمَ,the straight / right.,l-mus'taqīma,to stand; stand fast or firm; stand still; stand up; rise; stop; appear in broad light (truth); come back to life; rise against; persevere in; rise in honoring; sustain; rise for prayer; to maintain; erect; set up; rectify; make accurate; awake; to perform prayer; establish; observe; be straightforward; appoint; nation; tribe; party; some people; station; pause in prayer; revolution; livelihood; sustenance; mainstay; normal condition; Sustainer; Guardian; One who manages and maintains the affairs; One who undertakes the maintenance and protection; Maintainer; Resurrection; Hereafter; Day of Judgment; to raise uproar; value; price; stature of a person; the husband; guardian of the wife; true faith; self sustaining; self existing; abode; place; residence; rank; dignity; proportion; symmetry; mould; model (like model employee); formation; straight; right; undeviating without crookedness / قَائِمَةً = upright (people); arises; will come,1,6
21,7,1:7,1,ص ر ط,صِرَٰطَ,(The) path (of),ṣirāṭa,"a path which is even and wide enough and can be trodden without difficulty; way that is straight so that all parts of it are in orderly array; right path; ",1,7
22,7,1:7,2,ا ل ل ذ,ٱلَّذِينَ,those whom,alladhīna,He; Him; Whose; Whom; Which; Those who,1,7
23,7,1:7,3,ن ع م,أَنْعَمْتَ,You blessed / bestowed favor,anʿamta,to lead an easy life; enjoy comforts and conveniences of life; be joyful; favor; gift; delights; ease; comforts; riches; grace; blessed; blessings; kindness; beneficence; bliss; cattle; camel; cow; yes,1,7
24,7,1:7,4,ع ل ي,عَلَيْهِمْ,"on them,",ʿalayhim,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,1,7
25,7,1:7,5,غ ي ر,غَيْرِ,not (of),ghayri,to change; alter; difference; another; besides; unless; without; except; others; other than; save; but; but not; to attack; raiders; what is not knowable (to an individual),1,7
26,7,1:7,6,غ ض ب,ٱلْمَغْضُوبِ,those who earned wrath,l-maghḍūbi,"anger; displeasure; wrath; passion; indignation; hot tempered; angry; ",1,7
27,7,1:7,7,ع ل ي,عَلَيْهِمْ,"upon them,",ʿalayhim,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,1,7
28,7,1:7,8,ل ا,وَلَا,and not (of),walā,no; not; [present tense],1,7
29,7,1:7,9,ض ل ل,ٱلضَّآلِّينَ,the strayers.,l-ḍālīna,to lose one's way; go astray; fail; disappear; err; wander from; forget; waste; deviate; be misled from the right path; lurch; confusion; mistake; loss; doom; anxiety; uncertainty; absence; seducer; deluder; / ضَلَالٍ : error; wasted; astray; vain,1,7
30,8,2:0,1,س م و,بِسْمِ,In (the) name,bis'mi,name; attribute; to be high; raised lofty; heavens; heights; rain; rain clouds; figure seen from afar; good repute; fame; sublime; fixed; determined,2,0
31,8,2:0,2,ا ل ه,ٱللَّهِ,"(of) God,",l-lahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,2,0
32,8,2:0,3,ر ح م,ٱلرَّحْمَـٰنِ,"Most Gracious,",l-raḥmāni,"to love; have mercy; forgiveness; favor, affection; wombs",2,0
33,8,2:0,4,ر ح م,ٱلرَّحِيمِ,Most Merciful.,l-raḥīmi,"to love; have mercy; forgiveness; favor, affection; wombs",2,0
34,9,2:1,1,-,الٓمٓ,A.L.M.,alif-lam-meem,"These Quranic initials are the foundation of the Quran's mathematical structure authenticating that every letter, word, verse, Sura of the entire Quran is the unaltered word of God.",2,1
35,10,2:2,1,ذ ل ك,ذَٰلِكَ,That (is),dhālika,,2,2
36,10,2:2,2,ك ت ب,ٱلْكِتَـٰبُ,the scripture,l-kitābu,to write; note; record; collect; bring together; prescribe; ordain; destine; decree; transcribe; command; inscribe; book; writing; scripture; written revelation; decree; letter; prescribed period; to cause to be written (*to allow a slave to obtain their freedom by paying a agreed price written down),2,2
37,10,2:2,3,ل ا,لَا,no,lā,no; not; [present tense],2,2
38,10,2:2,4,ر ي ب,رَيْبَ,doubt,rayba,doubt; uncertain; affliction or calamity; false charge; suspicion,2,2
39,10,2:2,5,ف ي,فِيهِ,"in it,",fīhi,(preposition) in; into; amongst; in company with; during; with; of; for; for the sake of; upon; concerning; after; in comparison; about; among; on account of; respecting; by the side of; on; by; against; according to; in respect of,2,2
40,10,2:2,6,ه د ي,هُدًى,a beacon / guidance,hudan,to guide; show with kindness the right path; lead to the right path; guidance; follow the right path; to find guidance; offering (animals to slaughtered during Hajj); gift; present,2,2
41,10,2:2,7,و ق ي,لِّلْمُتَّقِينَ,for the righteous [ones].,lil'muttaqīna,to protect; save; preserve; ward off; guard against evil and calamity; be secure; take as a shield; regard the duty; one who guards against evil and against that which harms and injures and is regardful of his duty towards others and God; shield; guard against evil; observing God's laws in every walk of life,2,2
42,11,2:3,1,ا ل ل ذ,ٱلَّذِينَ,Those who,alladhīna,He; Him; Whose; Whom; Which; Those who,2,3
43,11,2:3,2,ا م ن,يُؤْمِنُونَ,[they] believe,yu'minūna,to believe; trust; be secure; be in safety; confine in; security; place of security; trust; covenant; pledge; faith,2,3
44,11,2:3,3,غ ي ب,بِٱلْغَيْبِ,"in the unseen,",bil-ghaybi,unseen; to go away; remote; hidden; secret; slander; backbite; absent; beyond human understanding or perception; intimacy; bottom,2,3
45,11,2:3,4,ق و م,وَيُقِيمُونَ,and they observe,wayuqīmūna,to stand; stand fast or firm; stand still; stand up; rise; stop; appear in broad light (truth); come back to life; rise against; persevere in; rise in honoring; sustain; rise for prayer; to maintain; erect; set up; rectify; make accurate; awake; to perform prayer; establish; observe; be straightforward; appoint; nation; tribe; party; some people; station; pause in prayer; revolution; livelihood; sustenance; mainstay; normal condition; Sustainer; Guardian; One who manages and maintains the affairs; One who undertakes the maintenance and protection; Maintainer; Resurrection; Hereafter; Day of Judgment; to raise uproar; value; price; stature of a person; the husband; guardian of the wife; true faith; self sustaining; self existing; abode; place; residence; rank; dignity; proportion; symmetry; mould; model (like model employee); formation; straight; right; undeviating without crookedness / قَائِمَةً = upright (people); arises; will come,2,3
46,11,2:3,5,و ص ل,ٱلصَّلَوٰةَ,"the Contact Prayer (Salat),",l-ṣalata,Contact Prayer / Salat; to reach a place; arrive at; come to hand; join; seek friendship; attain; unite; connect; establish a connection; transmit; communicate; to do something without interruption; A gift for which no compensation is to be made; a free gift; a gratuity,2,3
47,11,2:3,6,م م ا,وَمِمَّا,and from what,wamimmā,combination of مِن and ما,2,3
48,11,2:3,7,ر ز ق,رَزَقْنَـٰهُمْ,we provided them,razaqnāhum,to provide; supply; bestow; grant; bounty; gift; provision,2,3
49,11,2:3,8,ن ف ق,يُنفِقُونَ,they spend / give (to charity).,yunfiqūna,"to spend, expenditure, hypocrite, tunnel, hole, subterranean excavation",2,3
50,12,2:4,1,ا ل ل ذ,وَٱلَّذِينَ,And those who,wa-alladhīna,He; Him; Whose; Whom; Which; Those who,2,4
51,12,2:4,2,ا م ن,يُؤْمِنُونَ,[they] believe,yu'minūna,to believe; trust; be secure; be in safety; confine in; security; place of security; trust; covenant; pledge; faith,2,4
52,12,2:4,3,ب م ا,بِمَآ,in what,bimā,,2,4
53,12,2:4,4,ن ز ل,أُنزِلَ,it was sent down / revealed,unzila,to descend; come down; go down; happen; settle in place; send down; give; that which is prepared for a guest's entertainment; abode; gift; station; mansion; to cause to descend; send down; divine revelation; gradual revelation; orderly arrangement and authentic compilation,2,4
54,12,2:4,5,ا ل ي,إِلَيْكَ,to you,ilayka,,2,4
55,12,2:4,6,م ا,وَمَآ,and what,wamā,that; which; that which; whatsoever; as much as; any kind; when; how,2,4
56,12,2:4,7,ن ز ل,أُنزِلَ,it was sent down / revealed,unzila,to descend; come down; go down; happen; settle in place; send down; give; that which is prepared for a guest's entertainment; abode; gift; station; mansion; to cause to descend; send down; divine revelation; gradual revelation; orderly arrangement and authentic compilation,2,4
57,12,2:4,8,م ن,مِن,from,min,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,2,4
58,12,2:4,9,ق ب ل,قَبْلِكَ,before you,qablika,to accept; admit; receive; agree; meet anyone; one who accepts; before; formerly; face to face; before; power; side part; towards; in the direction of; facing; alongside; anything before; opposite; favorable reception; gracious acceptance; tribe; host; to come near; draw near; approach; turn towards; rush upon; to accept; Qibla,2,4
59,12,2:4,10,ا خ ر,وَبِٱلْـَٔاخِرَةِ,and in the Hereafter,wabil-ākhirati,to put back; put behind; postpone; Hereafter; Last abode; Next life; last one; latter; another; other; final; after; last; delayed; respite,2,4
60,12,2:4,11,ه م,هُمْ,they,hum,,2,4
61,12,2:4,12,ي ق ن,يُوقِنُونَ,[they] are (absolutely) certain.,yūqinūna,to be certain; obvious; sure; death; convinced,2,4
62,13,2:5,1,ا و ل ا,أُو۟لَـٰٓئِكَ,Those (are),ulāika,,2,5
63,13,2:5,2,ع ل ي,عَلَىٰ,on,ʿalā,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,2,5
64,13,2:5,3,ه د ي,هُدًى,guidance,hudan,to guide; show with kindness the right path; lead to the right path; guidance; follow the right path; to find guidance; offering (animals to slaughtered during Hajj); gift; present,2,5
65,13,2:5,4,م ن,مِّن,from,min,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,2,5
66,13,2:5,5,ر ب ب,رَّبِّهِمْ,"their Lord,",rabbihim,"to be lord and master; collect; possess; rule; increase; complete; perfume; bring up; preserve; last; Mast; Chief; Determiner; Provider; Sustainer; Perfecter; Rewarder; Ruler; Creator; Maintainer; Reposer of properties; King of nature; Developer; Former of rules and laws of the growth; Foster of a thing in such a manner as to make it attain one condition after another until it reaches its goal of completion; (conveys  not only the idea of fostering, bringing up or nourishing but also that of regulating; completing, accomplishing, cherishing, sustaining, and bringing to maturity and evolution from the earliest state to that of the highest perfection.",2,5
67,13,2:5,6,ا و ل ا,وَأُو۟لَـٰٓئِكَ,and those -,wa-ulāika,,2,5
68,13,2:5,7,ه م,هُمُ,they (are),humu,,2,5
69,13,2:5,8,ف ل ح,ٱلْمُفْلِحُونَ,the successful ones / winners.,l-muf'liḥūna,"to till (the earth); cleave (a thing); to be successful (in this life and the Hereafter); lucky; live on; prosperity; safety; success; to unfold something to reveal its intrinsic properties; ",2,5
70,14,2:6,1,ا ن ن,إِنَّ,"Indeed,",inna,,2,6
71,14,2:6,2,ا ل ل ذ,ٱلَّذِينَ,those who,alladhīna,He; Him; Whose; Whom; Which; Those who,2,6
72,14,2:6,3,ك ف ر,كَفَرُوا۟,"[they] disbelieved,",kafarū,"to cover; deny; hide; renounce; reject; disbelieve; be ungrateful; negligent; expiate; darken; to forgive; redeem; disbeliever; cultivator; tiller; husband; one who covers the sown seed with earth; one who hides the favor conferred on them; dark cloud; night; coat of mail; impious; rejector of truth; ",2,6
73,14,2:6,4,س و ي,سَوَآءٌ,it is same,sawāon,equal; level; complete; arrange; uniform; even; filled the space; consistent; fashion to a suitable manner; perfect a thing; to establish; become firm or firmly settled; to turn to a thing; to turn one's direction; mount; right; sound health; to proportion; fashion; perfect; midst / يَسْتَوِي = He is equal,2,6
74,14,2:6,5,ع ل ي,عَلَيْهِمْ,for them,ʿalayhim,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,2,6
75,14,2:6,6,ن ذ ر,ءَأَنذَرْتَهُمْ,whether you warn them,a-andhartahum,to warn; dedicate; make a vow; caution; promise; offer; present,2,6
76,14,2:6,7,ا م,أَمْ,or,am,or (as a question),2,6
77,14,2:6,8,ل م,لَمْ,not,lam,the word لِمَ = why and لَمْ = not [past tense],2,6
78,14,2:6,9,ن ذ ر,تُنذِرْهُمْ,"you warn them,",tundhir'hum,to warn; dedicate; make a vow; caution; promise; offer; present,2,6
79,14,2:6,10,ل ا,لَا,not,lā,no; not; [present tense],2,6
80,14,2:6,11,ا م ن,يُؤْمِنُونَ,they believe.,yu'minūna,to believe; trust; be secure; be in safety; confine in; security; place of security; trust; covenant; pledge; faith,2,6
81,15,2:7,1,خ ت م,خَتَمَ,[He] sealed,khatama,to seal; put a signet upon; stamp; complete a thing; finish; finality; last; musk; wax; substance used for sealing,2,7
82,15,2:7,2,ا ل ه,ٱللَّهُ,God,l-lahu,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,2,7
