verse_index,verse_id,english,chapter_number,verse_number,turkish,french,german,bahasa,persian,tamil,swedish,russian,bengali,spanish,urdu
1470,10:100,The Disbelievers Blocked Out*,10,100,İnkârcılar Bloke Edilirler,Les mécréants bloqués*,Die Ungläubigen werden ausgesperrt*,Orang-orang yang kafir menutup mata,کافران چشم‌پوشی کردند*,நம்பமறுப்பவர்கள் கட்டங்கட்டப்படுகின்றனர் *,De otrogna utestängda*,Неверующие заблокированы*.,অবিশ্বাসীরা অন্ধ করে দিয়েছে*,Los incrédulos bloqueados*,کافرین نے روک دیا*
1473,10:103,Guaranteed Victory,10,103,Garantilenmiş Galibiyet,Victoire garantie,Garantierter Sieg,Kemenangan Dijamin,پیروزی تضمین‌شده,உத்தரவாதமான வெற்றி,Garanterad seger,Гарантированная победа,নিশ্চিত বিজয়,Victoria garantizada,یقینی فتح
1477,10:107,All Power Belongs To God,10,107,Bütün Güç Tanrı'ya Aittir,Tout pouvoir appartient à Dieu,Alle Macht geht von Gott aus,Segala kuasa milik Tuhan,تمام قدرت از آنِ خداست,சக்தி அனைத்தும் கடவுளுக்குரியது,All makt tillhör Gud,Вся власть принадлежит Богу,সমস্ত ক্ষমতা ঈশ্বরের,Todo el poder pertenece a Dios,تمام طاقت خدا کے لیے ہے
1383,10:13,Lessons from the Past,10,13,Geçmişten Dersler,Les leçons du passé,Lehren aus der Vergangenheit,Pengajaran dari Masa Lalu,درس‌هایی از گذشته,கடந்த காலத்திலிருந்து படிப்பினைகள்,Lärdomar från det förflutna,Уроки прошлого,অতীত থেকে শিক্ষা,Lecciones del pasado,ماضی سے سبق
1384,10:14,Now It Is Your Turn,10,14,Şimdi Sıra Sizde,C'est maintenant à vous de jouer,Jetzt sind Sie dran,Sekarang giliran anda,حالا نوبت شماست,இப்போது உங்களுடைய முறை,Nu är det din tur,Теперь ваша очередь,এখন আপনার পালা,Ahora es su turno,اب آپ کی باری ہے
1385,10:15,Every Letter Calculated and Divinely Designed,10,15,Her bir Harf Hesaplanmış ve İlahi Olarak Dizayn Edilmiştir,Chaque lettre est calculée et divinement conçue,Jeder Buchstabe kalkuliert und göttlich entworfen,Setiap Huruf Dikira dan Direka Secara Ilahi,هر حرف محاسبه شده و به شکلی الهی طراحی شده است.,"ஒவ்வொரு எழுத்தும் கணக்கிடப்பட்டு, மேலும் தெய்வீமாக வடிவமைக்கப்பட்டது",Varje bokstav beräknad och gudomligt utformad,Каждая буква просчитана и божественно задумана,প্রতিটি অক্ষর গণনা করা হয়েছে এবং ঐশ্বরিকভাবে পরিকল্পিত।,Cada letra calculada y diseñada divinamente,ہر حرف کا حساب لگایا گیا اور الٰہی طور پر ڈیزائن کیا گیا
1390,10:20,Miracle of the Quran to be Unveiled After Muhammad*,10,20,Kuran'ın Mucizesi Muhammed'den Sonra Açığa Çıkarılacak,Le miracle du Coran sera dévoilé après Muhammad*.,Das Wunder des Korans soll nach Mohammed enthüllt werden*,Mukjizat Al-Quran akan didedahkan selepas Muhammad*,معجزهٔ قرآن پس از محمد* فاش خواهد شد,குர்ஆனின் அற்புதம் முஹம்மதுக்குப் பின்னரே திரை விலக்கப்பட இருந்தது*,Koranens mirakel ska avtäckas efter Muhammed*,"Чудо Корана, которое будет раскрыто после Мухаммада*",মুহাম্মদ*-এর পর কুরআনের অলৌকিকতা উন্মোচিত হবে,El milagro del Corán se desvelará después de Mahoma*.,محمد* کے بعد قرآن کا معجزہ بے نقاب ہوگا
1391,10:21,Rebellious Humans,10,21,İsyankâr İnsanlar,Humains rebelles,Rebellische Menschen,Manusia Pemberontak,انسان‌های سرکش,கலகக்கார மனிதர்கள்,Upproriska människor,Бунтующие люди,বিদ্রোহী মানুষ,Humanos rebeldes,باغی انسان
1396,10:26,Heaven and Hell are Eternal,10,26,Cennet ve Cehennem Ebedidir,Le paradis et l'enfer sont éternels,Himmel und Hölle sind ewig,Syurga dan Neraka adalah kekal,بهشت و جهنم ابدی هستند,சுவனமும் நரகமும் நிலைத்திருப்பவை,Himmel och helvete är eviga,Рай и ад вечны,স্বর্গ ও নরক চিরন্তন।,El cielo y el infierno son eternos,جنت اور جہنم ابدی ہیں
1398,10:28,Idols Disown Their Worshipers,10,28,Putlar Kendilerine Tapanları Sahiplenmeyecekler,Les idoles renient leurs adorateurs,Götzen verleugnen ihre Verehrer,Berhala menafikan penyembahnya,بت‌ها از پرستندگان خود انکار می‌کنند,போலித் தெய்வங்கள் தம்மை வழிபட்டவர்களைக் கைவிட்டு விடும்,Idoler förskjuter sina tillbedjare,Идолы отрекаются от своих поклонников,মূর্তিগুলো তাদের উপাসকদের অস্বীকার করে,Los ídolos repudian a sus adoradores,مورتوں نے اپنے پوجنیوالوں سے انکار کر دیا
