chapter_number,chapter_verses,revelation_order,title_english,title_arabic,title_transliterated,title_turkish,title_french,title_german,title_bahasa,title_persian,title_tamil,title_swedish,title_russian,title_bengali,title_urdu,title_spanish
1,7,5,The Key,الفاتحة,Al-Fãtehah,Anahtar,La Clef,The Key,Kunci,کليد,The Key,Nyckeln,Ключ,চাবি,چابی,La clave
2,286,87,The Heifer,البقرة,Al-Baqarah,Düve,La Génisse,The Heifer,Sapi Betina,ماده گاو,The Heifer,Kvigan,Тёлка,অপক্ব-গাভী,نوجوان مادی,La vaquilla
3,200,89,The Amramites,آل عمران,Ãli-'Imrãn,İmran Ailesi,Les Amramites,The Amramites,Keluarga Imran,عمرانيان,The Amramites,Amramiterna,Семейство Амрама,ইমরানের বংশধর,عمرانی,Los amramitas
4,176,92,The Women,النساء,Al-Nesa',Kadınlar,Les Femmes,The Women,Perempuan,زنان,The Women,Kvinnor,Женщины,নারী,خواتین,Las mujeres
5,120,112,The Feast,المائدة,Al-Ma'edah,Ziyafet,Le Festin,The Feast,Hidangan,ضيافت,The Feast,Festen,Пир,খাদ্য-উৎসব,داؤٔت,La fiesta
6,165,55,The Livestock,الأنعام,Al-An'am,Çiftlik Hayvanları,Les Bestiaux,The Livestock,Binatang Ternakan,چارپايان,The Livestock,Boskap,Скот,পালিত পশু,مویشی,El ganado
7,206,39,The Purgatory,الأعراف,Al-A'araf,Araf,Le Purgatoire,The Purgatory,Tempat Penungguan,برزخ,The Purgatory,Skärselden,Чистилище,মধ্যাবস্থান,برزخ,El purgatorio
8,75,88,The Spoils of War,الأنفال,Al-Anfal,Savaş Ganimetleri,"Les Butins de Guerre ",The Spoils of War,Harta Peperangan,غنايم جنگی,The Spoils of War,Krigets Byten,Военные трофеи,গনিমতের মাল,جنگی مال غنیمت,El botín de guerra
9,127,113,Ultimatum,براءة,Bara'ah,Ültimatom,Ultimatum,Ultimatum,Memberikan Kata Putus,اتمام حجت,Ultimatum,Ultimatum,Ультиматум,চরমপত্র,آخری انتباہ,Ultimátum
10,109,51,Jonah,يونس,Younus,Yunus,Jonas,Jonah,Yunus,يونس,Jonah,Jonas,Иона,ইউনুস,یونس,Jonás
11,123,52,Hood,هود,Hud,Hûd,Houd,Hood,Hud,هود,Hood,Hüd,Худ,হুদ,ہُڈ,Capó
12,111,53,Joseph,يوسف,Yousuf,Yusuf,Joseph,Joseph,Yusuf,يوسف,Joseph,Josef,Иосиф,ইউসুফ,یوسف,Joseph
13,43,96,The Thunder,الرعد,Al-Ra'ad,Gök Gürlemesi,Le Tonnerre,The Thunder,Guruh,رعد,The Thunder,Åska,Гром,বজ্রপাত,گرج,El Trueno
14,52,72,Abraham,إبراهيم,Ibrahîm,İbrahim,Abraham,Abraham,Ibrahim,ابراهيم,Abraham,Abraham,Авраам,ইব্রাহিম,ابراہیم,Abraham
15,99,54,The Hijr Valley,الحجر,Al-Hijr,Hicr Vadisi,La Vallée d’Al-Hijr,The Hijr Valley,Lembah,وادی حجر,The Hijr Valley,Al-Hijr Dalen,Долина Хиджр,হিজর উপত্যকা,حجر وادی,Valle del Hijr
16,128,70,The Bee,النّحل,Al-Nahl,Arı,L’Abeille,The Bee,Lebah,زنبور,The Bee,Biet,Пчела,মৌমাছি,مکھّی,La Abeja
17,111,50,The Children of Israel,بني إسرءيل,Banî Israel,İsrailoğulları,Les Enfants d’Israël,The Children of Israel,Keturunan Israil,فرزندان اسرایيل,The Children of Israel,Israels Barn,Дети Израиля,বনি-ঈস্রাইল,بنی اسرائیل,Los hijos de Israel
18,110,69,The Cave,الكهف,Al-Kahf,Mağara,La Grotte,The Cave,Gua,غار,The Cave,Grottan,Пещера,গুহা,غار,La Cueva
19,98,44,Mary,مريم,Maryam,Meryem,Marie,Mary,Maryam,مريم,Mary,Maria,Мария,মরিয়ম,مریم,Mary
20,135,45,T-H,طه,TãHã,T.H.,T. H.,T-H,Tha Ha,طا ها,T-H,T.H.,Т. Х.,তঁ-হা,ٹی-ایچ,T-H
21,112,73,The Prophets,الأنبياء,Al-Anbyã’,Peygamberler,Les Prophètes,The Prophets,Para Nabi,پيامبران,The Prophets,Profeterna,Пророки,নবীগণ,پیغمبر,Los profetas
22,78,103,The Pilgrimage,الحج,Al-Hajj,Kutsal Yolculuk,Le Pèlerinage,The Pilgrimage,Menunaikan Haji,حج,The Pilgrimage,Vallfärd,Паломничество,হজ্ব,حج,La peregrinación
23,118,74,The Believers,المؤمنون,Al-Mu’minûn,İmanlılar,Les Croyants,The Believers,Orang Orang Yang Percaya,مؤمنان,The Believers,De Troende,Верующие,বিশ্বাসীগন,مومن,Los creyentes
24,64,102,The Light,النّور,Al-Noor,Işık,La Lumière,The Light,Cahaya,نور,The Light,Ljus,Свет,আলো,روشنی,La luz
25,77,42,The Statute Book,الفرقان,Al-Furqãn,Yasa Kitabı,Le Code des Lois,The Statute Book,Buku Perundangan,کتاب قانون,The Statute Book,Lagboken,Свод Законов,সংবিধান,قانونی کتاب,El Libro de Estatutos
26,227,47,The Poets,الشعراء,Al-Shu‘arã’,Şairler,Les Poètes,The Poets,Penyair Penyair,شاعران,The Poets,Poeterna,Поэты,কবিগণ,شعراء,Los poetas
27,93,48,The Ant,النّمل,Al-Naml,Karınca,La Fourmi,The Ant,Semut,مورچه,The Ant,Myran,Муравей,পিঁপড়া,چونٹی,La hormiga
28,88,49,The History,القصص,Al-Qasas,Tarih,L’Histoire,The History,Sejarah,تاريخ,The History,Historia,История,ইতিহাস,تاریخ,Historia
29,69,85,The Spider,العنكبوت,Al-‘Ankaboot,Örümcek,L’Araignée,The Spider,Laba Laba,عنکبوت,The Spider,Spindeln,Паук,মাকড়শা,مکڑی,La araña
30,60,84,The Romans,الروم,Al-Room,Romalılar,Les Romains,The Romans,Orang Orang Rom,روميان,The Romans,Romare,Римляне,রোমান,رومی,Los romanos
31,34,57,Luqmaan,لقمان,Luqmãn,Lokman,Luqman,Luqmaan,Luqman,لقمان,Luqmaan,Luqman,Лукман,লোকমান,زبان,Luqmaan
32,30,75,Prostration,السجدة,Al-Sajdah,Secde,La Prosternation,Prostration,Sujud,سجده,Prostration,Prostrering,Земной поклон,প্রণতি,سجدہ,Postración
33,73,90,The Parties,الأحزاب,Al-Ahzãb,Taraflar,Les Coalisés,The Parties,Parti Parti,گروه ها,The Parties,Parterna,Отряды,দলগুলো,فریقین,Las Partes
34,54,58,Sheba,سبإ,Saba’,Saba,Saba,Sheba,Sheba,سبا,Sheba,Saba,Сава,সাবা,دیکھو,Sheba
35,45,43,Initiator,فاطر,Fãter,Başlatan,L’Initiateur,Initiator,Yang Meinsiasikan Ciptaan,آغازکننده,Initiator,Initierare,Творец,সূচনাকারী,شروع کرنے والا,Iniciador
36,83,41,Y-S,يس,YãSîn,Y. S.,Y.S.,Y-S,Ya Sin,ی.س,Y-S,Y.S.,Й. С.,ইয়াসিন,وائی-ایس,Y-S
37,182,56,The Arrangers,الصّافات,Al-Sãffãt,Düzenleyenler,Les Arrangeurs,The Arrangers,Penyusun Penyusun,تنظيم کنندگان,The Arrangers,De Som Arrangerar,Организаторы,সুবিন্যাসকারী,انتظام کرنے والے,Arreglistas
38,88,38,S,ص,Saad,S,S,S,Saad,ص,S,S,С.,স'দ,ایس,S
39,75,59,The Throngs,الزُّمر,Al-Zumar,Yığınlar,Les Foules,The Throngs,Kumpulan Orang Ramai,فوج فوج,The Throngs,Massorna,Толпы,লোক সমাগম,ہجوم,La multitud
40,85,60,Forgiver,غافر,Ghãfer,Bağışlayıcı,Le Pardonneur,Forgiver,Pengampun,عفوکننده,Forgiver,Förlåtare,Прощающий,ক্ষমাশীল,معاف کریں,Editorial
41,54,61,Detailed,فصلت,Fussilat,Detaylandırılmış,Détaillé,Detailed,Perincian,جزئيات کامل,Detailed,Detaljerad,Подробный,সবিস্তারিত,تفصیلی,Detallado
42,53,62,Consultation,الشورى,Al-Shoorã,İstişare,La Consultation,Consultation,Perundingan,مشورت,Consultation,Konsultation,Совещание,পরামর্শ,مشورہ,Consulta
43,89,63,The Ornaments,الزخرف,Al-Zukhruf,Süsler,Les Ornements,The Ornaments,Barang Barang Perhiasan,تزيینات,The Ornaments,Ornament,Украшения,অলঙ্কার,آرائشی اشیاء,Los adornos
44,59,64,The Smoke,الدّخان,Al-Dukhãn,Duman,La Fumée,The Smoke,Asap,دود,The Smoke,Rök,Дым,ধোঁয়া,دھواں,El humo
